rank,plays,likes,comments,duration_s,post_date,code,caption
1,3817165,100044,4159,7.5,2025-08-23,DNs59Db1Cww,"now i got a reason to try for a PB"
2,1200834,29415,809,5.3,2025-08-19,DNilC0FsLDZ,"is this a W?"
3,1024137,25626,1690,5.2,2025-10-02,DPULhynlLM9,"what rank are u? @runifyyy"
4,7874,87,9,6.5,2025-09-28,DPKYaNKki_D,"what rank are u? @runifyyy"
5,7081,63,2,6.3,2025-09-10,DObnLjhDL4g,"This is so fire bro"
6,6768,85,0,5.0,2025-08-26,DN06LVR1CA6,"i'm soooo cooked @runifyyy"
7,6603,70,7,5.0,2025-08-30,DN_sOGNDY3L,"comment yours & tag a friend @runifyyy"
8,6193,103,5,7.0,2025-11-12,DQ965oxDOkd,"what rank are u?"
9,6149,70,1,6.3,2025-09-09,DOY5yuFFMyL,"1v1 ranked running 😈 @runifyyy"
10,6101,52,4,5.3,2025-08-28,DN47fvRk3cP,"is this a W?"
11,5903,72,17,5.1,2025-11-14,DRC9nvtDPxB,"Comment ur rank"
12,5876,29,8,6.6,2025-08-11,DNOYkujxb2c,"@runifyyy bro are we fr..."
13,5700,53,3,5.0,2025-08-29,DN9OVEJj_C8,"comment your rank @runifyyy"
14,5653,29,0,6.3,2025-08-14,DNWWQrroSrG,"i'm not even lying lol"
15,5562,53,2,4.5,2025-11-14,DRDLZ-cDLiC,"What rank are you"
16,5554,47,0,5.1,2025-08-21,DNmKkGLKCFU,"Tag a friend who would rank bronze 👇🏼"
17,5261,53,1,6.0,2025-08-24,DNvwkQK2pxF,"@runifyyy what have u done to me!"
18,5180,30,1,5.0,2025-09-02,DOG7qujjWz4,"kinda cool low key"
19,4990,43,1,5.1,2025-08-20,DNlsu6UJJgT,"no way bro"
20,4935,15,0,5.7,2025-08-24,DNvivgJxMkz,"how'd u go?"
21,4875,50,5,5.0,2025-11-15,DRF3mGMk-Gn,"tag someone you'll beat"
22,4798,29,4,5.5,2025-11-16,DRIcY25Ceul,"Tag a bronze friend 😭"
23,4764,43,3,8.0,2025-08-21,DNoKyyBPTyx,"so sick"
24,4753,39,4,5.0,2025-08-28,DN6SAn_D6VJ,"@runifyyy is my bronze friend lol"
25,4631,33,2,7.5,2025-08-15,DNYYrkVpM77,"what rank are u?"
26,4501,32,4,5.0,2025-08-26,DN1H1rD2Age,"it's time 😈 @runifyyy"
27,4419,25,2,4.4,2025-08-22,DNq3el2N6co,"where do u rank?"
28,4407,35,1,5.3,2025-08-16,DNazRNuoavU,"bro are we fr"
29,4384,44,1,5.0,2025-09-02,DOHZbIbjM4_,"We got you boys"
30,4323,24,0,5.0,2025-09-01,DOEWz4Pkp21,"Where do you rank?"
